Symbol,Rank,Score,3M Return,6M Return
MEDANTA,122,0.8928690106801749,0.16463175188390688,0.23025457007391137
BLUEJET,123,0.8919193196912,0.4478090327975006,0.6963961742923528
IPCALAB,124,0.8878550495770429,0.15140512576462095,0.27167472542571547
NYKAA,125,0.8875477546824815,0.18573520949471534,0.1869539320366107
HAL,126,0.878145278369601,0.1798041854160124,0.2007297568885007
POWERINDIA,127,0.8740701094839487,0.07774390243902429,0.4998514998514998
KEI,128,0.8600190437982088,0.13598394077633458,0.2546398060568753
CONCORDBIO,129,0.8505709380061194,0.3937381415564607,0.36439365108940946
NAVINFLUOR,130,0.8486935878802464,0.19507790745360332,0.2920089698009811
RBLBANK,131,0.8356156943830675,0.1824144803795631,0.18168870253373193
PIDILITIND,132,0.8297937115661776,0.1584682664149013,0.12790233988300703
ENDURANCE,133,0.8127534643178075,0.20039503549168214,0.2241839591879906
APOLLOHOSP,134,0.8124586457029822,0.09859056722775628,0.15217328910130856
ARVIND,135,0.8065008590366055,0.11288617311577043,0.3943531155517477
BHARATFORG,136,0.8049295169169848,0.1092782060647437,0.18417353756700838
JINDALSAW,137,0.8023303722072835,0.2201992870457421,0.4386530406254565
SAREGAMA,138,0.8018055542983442,0.3104371515631168,0.48234111392985546
PNBHOUSING,139,0.7992598002763712,0.10403338051253685,0.33372132299165047
SIEMENS,140,0.7920079341469568,0.12911046207069443,0.2520839382698823
EMCURE,141,0.7771039264203154,0.11493301769664854,0.2850307587149692
WELSPUNLIV,142,0.7722250403353024,0.2903832899161236,0.29234035082998977
BELRISE,143,0.770327419329705,0.14766890453369586,0.27687905201012275
BALAMINES,144,0.7700751636326271,0.20229691168444996,0.9203201065866111
ELGIEQUIP,145,0.7659818082350724,0.16032135747104626,0.15211449259482457
ZYDUSLIFE,146,0.7534324094863949,0.12955821219244568,0.23015784790256633
ASTERDM,147,0.7515753161062915,0.08560082676473013,0.30879109262552906
PVRINOX,148,0.7512122202542917,0.19267779191172463,0.1451843683939631
JSFB,149,0.7452167268551865,0.23252538470078088,0.45534682230800216
PPLPHARMA,150,0.7423093903972335,0.20087958533883832,0.26626119309509444
LUMAXTECH,151,0.7420238826435726,0.24322437962732657,0.19778894521856816
KAJARIACER,152,0.7170810182412092,0.17449413238663203,0.22966225708086507
THELEELA,153,0.7150483895339725,0.24761099453784463,0.16674210906568154
UNITDSPR,154,0.6984755187731401,0.16984303999889305,0.08041731999198354
GRASIM,155,0.6970883175779697,0.11788158739684906,0.12169196009925609
ETERNAL,156,0.6965104456716733,0.32042256859660223,0.1492698503169767
KARURVYSYA,157,0.6940315810027687,0.15100605471806894,0.03096247446209066
EICHERMOT,158,0.6903686592925913,0.18083274249234638,0.019176871771213744
ADANIENT,159,0.689304949284788,0.12549370047501496,0.3690996392698265
APOLLO,160,0.684047731475699,0.2411575562700965,0.6366334111120728
TMCV,161,0.6805367394350234,0.2551904022372806,-0.024710933279589842
RAIN,162,0.6796879717804597,0.34858837518529073,0.3605314819422909
IFCI,163,0.676762566848213,0.31307292917415386,0.3032238088248571
ENTERO,164,0.6766640806314717,0.18727969628071706,0.27869151564978734
SUMICHEM,165,0.6748548118838248,0.2604538525050113,0.36932362004656594
PARKHOSPS,166,0.6747261926669943,0.1564129301355579,0.5412196394501407
KPIL,167,0.668659281997302,0.14310642672837415,0.2632508141455756
IDEA,168,0.6673687097866313,0.10575432711193078,0.23010378467618664
COFORGE,169,0.6650225838053965,0.31873985182400855,0.2950125105535044
EMMVEE,170,0.6592126918921021,0.26148970521397197,0.4720976641543879
SHRIRAMFIN,171,0.6542135116677374,0.19748214761616945,0.03892323626839933
WEWORK,172,0.6533337813593044,0.43918562943442296,0.2618465278476714
SKFINDUS,173,0.650449449719046,0.30192518678384217,0.1140679491523573
NUVAMA,174,0.6502525041462981,0.2104056887683523,0.33553324972154086
VMART,175,0.64837320082973,0.267239735856597,0.3428644228952422
SMLMAH,176,0.6481804753024054,0.5246738615707118,0.04448019280289861
CASTROLIND,177,0.6401715427609215,0.06083847606824033,0.05652018672897752
